type;container;part0;part1;part2;part3;regular_expression;symbols_to_delete;din_analog
винт;17475-80;Винт А.М;;-6gx;.58.20.016 ГОСТ 17475-80;[МM]\d+\.*[56]*;1;963
винт;1491-80;Винт А.М;;-6gx;.58.20.016 ГОСТ 1491-80;[МM]\d+\.*[56]*;1;84
винт;4762;Винт ГОСТ Р ИСО 4762 M;;x;.A2-70;[МM]\d+\.*[56]*;1;912
винт;1477-93;Винт A.M;;-6gx;.22H.35.016 ГОСТ 1477-93;[МM]\d+\.*[56]*;1;551
винт;1476-93;Винт A.M;;-6gx;.23.20Х13 ГОСТ 1476-93;[МM]\d+\.*[56]*;1;553
винт;2009;Винт с потайной головкой ГОСТ Р ИСО 2009 - М;;x;.A2-70;[МM]\d+\.*[56]*;1;963
винт;11644-75;Винт А.М;;-6gx;.23.20Х13.11 ГОСТ 11644-75;[МM]\d+\.*[56]*;1;967
винт;11074-93;Винт А.М;;-6gx;.23.20Х13.11 ГОСТ 11074-93;[МM]\d+\.*[56]*;1;913
винт;1479-93;Винт A.M;;-6gx;.23.20Х13 ГОСТ 1479-93;[МM]\d+\.*[56]*;1;438
винт;11738-84;Винт M;;-6gx;23.20Х13 ГОСТ 11738-84;[МM]\d+\.*[56]*;1;912
гайка;5927-70;Гайка М;;-6H.5.20.016 ГОСТ 5927-70;;[МM]\d+\.*[56]*;1;934
гайка;5929-70;Гайка М;;-6H.5.20.016 ГОСТ 5929-70;;[МM]\d+\.*[56]*;1;934
шайба;10450-78;Шайба А;;.01.019 ГОСТ 10405-78;;[AАCС]\.\d+\.*[56]*;2;433
шайба;11371-78;Шайба А;;.01.019 ГОСТ 11371-78;;[AА]\.\d+\.*[56]*;2;125
шайба;6402-70;Шайба А;;.01.019 ГОСТ 6402-70;;йба \d+\.*[56]*;4;127
штифт;3128-70;Штифт;;x;.Хим.Окс.прм. ГОСТ 3128-70;ифт \d+\.*[56]*;4;7
vint;4762;Винт ГОСТ Р ИСО 4762 M;;x;.A2-70;M\d+[-_]*[56]*;1;912
vint;1491-80;Винт А.М;;-6gx;.58.20.016 ГОСТ 1491-80;M\d+[-_]*[56]*;1;84
vint;17475-80;Винт А.М;;-6gx;.58.20.016 ГОСТ 17475-80;M\d+[-_]*[56]*;1;963
vint;1477-93;Винт A.M;;-6gx;.22H.35.016 ГОСТ 1477-93;M\d+[-_]*[56]*;1;551
vint;1476-93;Винт A.M;;-6gx;.23.20Х13 ГОСТ 1476-93;M\d+[-_]*[56]*;1;553
vint;11738-84;Винт M;;-6gx;23.20Х13 ГОСТ 11738-84;M\d+[-_]*[56]*;1;912
